GRE,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
18153,Chief of Staff,Vassilios Tsounoukas,6,School of Fire Support,M18153
18127,Minister of Security,Alchibiades Stephanopoulos,7,Compassionate Gentleman,M18100
18008,Chief of Army,Alexandros Papagos,7,Elastic Defence Doctrine,M18008
18009,Chief of Navy,Anastassio Sakellariou,7,Open Seas Doctrine,M18009
18059,Head of Government,Archbishop Damaskinos,7,Flamboyant Tough Guy,M18032
18126,Minister of Security,Archbishop Damaskinos,7,Efficient Sociopath,M18032
18128,Minister of Security,Christos Triantafyllidis,7,Man of the People,M18128
18003,Foreign Minister,Constantinos Demertzis,7,Biased Intellectual,M18002
18002,Head of Government,Constantinos Demertzis,7,Naive Optimist,M18002
18010,Chief of Air Force,Eleftherios Venizelos,7,Army Aviation Doctrine,M18010
18006,Head of Military Intelligence,Georgios Logothetis,7,Dismal Enigma,M18005
18005,Minister of Security,Georgios Logothetis,7,Crime Fighter,M18005
18004,Minister of Armament,Georgios Mantzavinos,7,Military Entrepreneur,M18004
18080,Foreign Minister,Ioannes Socrates Politis,7,Apologetic Clerk,M18080
18200,Foreign Minister,Ioannis Safianopoulos,7,The Cloak N Dagger Schemer,M18068
18106,Minister of Armament,Ioannis Venizelos,7,Military Entrepreneur,M18106
18159,Chief of Staff,Leonidas Paraskevopoulos,7,School of Mass Combat,M18159
18143,Head of Military Intelligence,Napoleon Zervas,7,Logistics Specialist,M18143
18171,Chief of Army,Nikolaos Plastiras,7,Guns and Butter Doctrine,M18060
18158,Chief of Staff,Nikolaos Plastiras,7,School of Psychology,M18060
18060,Head of Government,Nikolaos Plastiras,7,Old General,M18060
18107,Minister of Armament,Nikolaos Plastiras,7,Infantry Proponent,M18060
18082,Foreign Minister,Panagiotios Demestichas,7,General Staffer,M18082
18081,Foreign Minister,Panagiotis Kanellopoulos,7,Great Compromiser,M18062
18062,Head of Government,Panagiotis Kanellopoulos,7,Smiling Oilman,M18062
18201,Foreign Minister,Petros Voulgaris,7,Biased Intellectual,M18061
18061,Head of Government,Petros Voulgaris,7,Naive Optimist,M18061
18007,Chief of Staff,Theodor Pangalos,7,School of Defence,M18007
18140,Head of Military Intelligence,Alchibiades Stephanopoulos,8,Industrial Specialist,M18100
18150,Chief of Staff,Alexandros Papagos,8,School of Defence,M18007
18091,Minister of Armament,Alexiou Tsamotos,8,Submarine Proponent,M18091
18134,Head of Military Intelligence,Anastassios Bardivilias,8,Naval Intelligence Specialist,M18097
18139,Head of Military Intelligence,Christos Triantafyllidis,8,Dismal Enigma,M18128
18122,Minister of Security,Christos Tsigantes,8,Prince of Terror,M18104
18075,Foreign Minister,Demosthenes Nicoladis,8,Ideological Crusader,M18075
18155,Chief of Staff,Giorgios Kondylis,8,School of Manoeuvre,M18155
18070,Foreign Minister,Ioannis Metaxas,8,General Staffer,M18049
18049,Head of Government,Ioannis Metaxas,8,Old General,M18049
18055,Head of Government,Panagis Tsaldaris,8,Flamboyant Tough Guy,M18055
18102,Minister of Armament,Panagis Tsaldaris,8,Air to Sea Proponent,M18055
18185,Chief of Air Force,Panagotis Papanikolaou,8,Carpet Bombing Doctrine,M18182
18202,Minister of Security,Roberto Rastapopoulos,8,Prince of Terror,Kaiserreich Rasta
18169,Chief of Army,Theodor Pangalos,8,Static Defence Doctrine,M18007
18179,Chief of Navy,Alexandros Oikonomou,9,Open Seas Doctrine,M18179
18141,Head of Military Intelligence,Christos Tsigantes,9,Industrial Specialist,M18104
18104,Minister of Armament,Christos Tsigantes,9,Resource Industrialist,M18104
18170,Chief of Army,Georgias Tsolakoglou,9,Decisive Battle Doctrine,M18056
18157,Chief of Staff,Georgias Tsolakoglou,9,School of Manoeuvre,M18056
18076,Foreign Minister,Georgias Tsolakoglou,9,General Staffer,M18056
18056,Head of Government,Georgias Tsolakoglou,9,Old General,M18056
18123,Minister of Security,Grigoriev Murnov,9,Crime Fighter,M18040
18078,Foreign Minister,Ioannis Rallis,9,The Cloak N Dagger Schemer,M18058
18058,Head of Government,Ioannis Rallis,9,Naive Optimist,M18058
18077,Foreign Minister,Konstantinos Logothetopoulos,9,Biased Intellectual,M18057
18057,Head of Government,Konstantinos Logothetopoulos,9,Corporate Suit,M18057
18124,Minister of Security,Mario Vercellino,9,Back Stabber,M18041
18105,Minister of Armament,Nicholaos Voutsinaris,9,Theoretical Scientist,M18105
18103,Minister of Armament,Pavlos Milziadis,9,Resource Industrialist,M18103
18125,Minister of Security,Reinhard Altenburg,9,Crooked Kleptocrat,M18042
18142,Head of Military Intelligence,Sevastianos Foulidis,9,Logistics Specialist,M18142
