PRU,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
39049,Foreign Minister,Oscar Miro Quesada,3,The Cloak N Dagger Schemer,M39040
39027,Head of Government,Oscar Miro Quesada,3,Silent Workhorse,M39040
39108,Chief of Army,Rafael Escardo,3,Elastic Defence Doctrine,M39048
39042,Foreign Minister,Rafael Escardo,3,General Staffer,M39048
39044,Foreign Minister,Reynaldo Vinatea,3,Ideological Crusader,M39035
39092,Head of Military Intelligence,Riccardo Barrea Laos,3,Technical Specialist,M39097
39119,Chief of Air Force,Romulo Frias,3,Air Superiority Doctrine,M39130
39054,Minister of Armament,Teófilo Iglesias,3,Tank Proponent,M39060
39072,Minister of Security,Victor N. Benavente,3,Silent Lawyer,M39077
39077,Minister of Security,Augusto Leguia Swayne,4,Man of the People,M39034
39090,Head of Military Intelligence,Enrique Torres Gonzalez,4,Political Specialist,M39095
39029,Head of Government,Julio Tello East,4,Smiling Oilman,M39042
39047,Foreign Minister,Manuel Gallagher,4,Biased Intellectual,M39052
39063,Minister of Armament,Alberto Roque Saldías,5,Battle Fleet Proponent,M39069
39093,Head of Military Intelligence,Armando Montes de Peralta,5,Logistics Specialist,M39026
39036,Head of Government,Armando Reveredo Iglesias,5,Old Airmarshal,M39142
39062,Minister of Armament,Benjamín Roca,5,Theoretical Scientist,M39068
39106,Chief of Army,Eduardo Montero Rojas,5,Armoured Spearhead Doctrine,M39113
39050,Foreign Minister,Enrique García Sayan,5,The Cloak N Dagger Schemer,M39043
39030,Head of Government,Enrique García Sayan,5,Flamboyant Tough Guy,M39043
39121,Chief of Air Force,Fernando M. Quesada Blanco,5,Carpet Bombing Doctrine,M39020
39098,Chief of Staff,Fortunato Quesada Larrea,5,School of Defence,M39106
39064,Minister of Armament,Guillermo Almenara Irigoyen,5,Administrative Genius,M39070
39076,Minister of Security,Guillermo Landa Arisueño,5,Man of the People,M39082
39048,Foreign Minister,Javier Correa Elías,5,Iron Fisted Brute,M39054
39089,Head of Military Intelligence,Jorge T. de la Flor,5,Industrial Specialist,M39094
39034,Head of Government,José Alcamora,5,Corporate Suit,M39138
39078,Minister of Security,Juan Cortés Azar,5,Back Stabber,M39025
39091,Head of Military Intelligence,Juan F. Guabloche Rodrígues,5,Dismal Enigma,M39086
39080,Minister of Security,Juan F. Guabloche Rodrígues,5,Prince of Terror,M39086
39033,Head of Government,Julio Portugal Montero,5,Silent Workhorse,M39046
39061,Minister of Armament,Julio Portugal Montero,5,Theoretical Scientist,M39046
39122,Chief of Air Force,Luis Navarreté,5,Naval Aviation Doctrine,M39124
39115,Chief of Navy,Luis Navarreté,5,Power Projection Doctrine,M39124
39028,Head of Government,Manuel Cisneros Sanchez,5,Political Protege,M39041
39114,Chief of Navy,Nicolas Lindley Lopez,5,Decisive Naval Battle Doctrine,M39019
39032,Head of Government,Rafel Belaunde Díez,5,Naive Optimist,M39045
39097,Chief of Staff,Riccardo P. Godoy,5,School of Manoeuvre,M39104
39066,Minister of Armament,Rómulo Ferrero,5,Laissez-Faire Capitalist,M39072
39107,Chief of Army,Vladimiro Lopéz Trigoso,5,Decisive Battle Doctrine,M39028
39045,Foreign Minister,Adolfo Solf y Muro,6,The Cloak N Dagger Schemer,M39039
39026,Head of Government,Adolfo Solf y Muro,6,Naive Optimist,M39039
39025,Head of Government,Alberto Rey de Castro,6,Old General,M39137
39111,Chief of Navy,Alberto Roque Saldías,6,Indirect Approach Doctrine,M39069
39035,Head of Government,Alberto Roque Saldías,6,Old Admiral,M39069
39101,Chief of Staff,Alberto Zenon Agüero,6,School of Psychology,L260016
39087,Head of Military Intelligence,Alfredo Alvarez Calderón,6,Technical Specialist,M39092
39069,Minister of Armament,Armando Reveredo Iglesias,6,Military Entrepreneur,M39142
39055,Minister of Armament,Augusto Leguia Swayne,6,Administrative Genius,M39034
39085,Head of Military Intelligence,Benigno Ballón Farfán,6,Dismal Enigma,M39075
39070,Minister of Security,Benigno Ballón Farfán,6,Crooked Kleptocrat,M39075
39075,Minister of Security,Carlos Berninzon,6,Compassionate Gentleman,M39081
39041,Foreign Minister,Carlos Concha,6,Apologetic Clerk,M39047
39038,Foreign Minister,Cesar de la Fuente,6,General Staffer,L260004
39059,Minister of Armament,David Dasso,6,Laissez-Faire Capitalist,M39065
39058,Minister of Armament,Eduardo Rebagliati Martins,6,Military Entrepreneur,M39064
39071,Minister of Security,Eleodoro Romero,6,Silent Lawyer,M39076
39043,Foreign Minister,Enrique Goytisola Bolognesi,6,Iron Fisted Brute,M39049
39023,Head of Government,Ernesto Montagne Sanchez,6,Smiling Oilman,M39037
39083,Head of Military Intelligence,Horacio Patiño Cruzatti,6,Naval Intelligence Specialist,M39088
39113,Chief of Navy,José de la Riva Agüero,6,Base Control Doctrine,M39011
39052,Minister of Armament,José Julio Bravo,6,Industrialiser,M39058
39086,Head of Military Intelligence,Juan Bautista de Lavalle,6,Industrial Specialist,M39091
39074,Minister of Security,Luis A. Flores,6,Prince of Terror,M39015
39104,Chief of Army,Luis Saenz Diaz,6,Elastic Defence Doctrine,M39111
39053,Minister of Armament,Luis Sanchez Cerro,6,Infantry Proponent,M39005
39095,Chief of Staff,Luis Sánchez Cerro,6,School of Mass Combat,M39102
39120,Chief of Air Force,Manuel Montero y Tirada,6,Naval Aviation Doctrine,M39131
39109,Chief of Army,Manuel Odria Amoretti,6,Elastic Defence Doctrine,L260017
39060,Minister of Armament,Oscar Trelles Montés,6,Submarine Proponent,M39066
39118,Chief of Air Force,Victor Solano,6,Army Aviation Doctrine,M39129
39003,Foreign Minister,Alberto Ulloa Sotomayor,7,Iron Fisted Brute,M39003
39037,Head of Government,Alberto Zenon Agüero,7,Old General,L260016
39009,Chief of Navy,Ernesto Scroth,7,Open Seas Doctrine,M39004
39004,Minister of Armament,Ernesto Scroth,7,Battle Fleet Proponent,M39004
39007,Chief of Staff,Gustavo Jimenez,7,School of Psychology,M39007
39005,Minister of Security,Luis Sanchez Cerro,7,Compassionate Gentleman,M39005
39002,Head of Government,Manuel Esteban Rodríguez,7,Old General,M39002
39102,Chief of Staff,Nicolas Lindley Lopez,7,School of Manoeuvre,L260036
39008,Chief of Army,Oscar Benavides Larrea,7,Static Defence Doctrine,M39001
39006,Head of Military Intelligence,Oscar Gilardi,7,Technical Specialist,M39006
39010,Chief of Air Force,Paul de Beaudiez,7,Army Aviation Doctrine,M39010
39110,Chief of Army,Riccardo Perez Godoy,7,Armoured Spearhead Doctrine,L260020
39082,Minister of Security,Rocas Sanchez Mapás,7,Efficient Sociopath,M39149
39040,Foreign Minister,Felipe Tudela,8,The Cloak N Dagger Schemer,M39013
39021,Head of Government,José de la Riva Agüero,8,Old Admiral,M39011
