SIA,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
x,Head of Military Intelligence,Luang Karjsongkhram,6,logistics specialist,Luang_Karjsongkhram
m,Chief of Army,Luang Kriengsakpichit,6,Elastic Defence Doctrine,Luang_Kriengsakpichit
m,Chief of Navy,Phraya Preechachollayut,6,Base Control Doctrine,Phraya_Preechachollayut
m,Chief of Staff,Phraya Surapanthaseni,6,School of Psychology,Phraya_Surapanthaseni
x,Foreign Minister,Seni Pramoj,6,great compromiser,Seni_Pramoj
x,Head of Government,Seni Pramoj,6,backroom backstabber,Seni_Pramoj
x,Head of Government,King Prajadhipok,7,silent workhorse,Prajadhipok
x,Head of Military Intelligence,Kitiyakara Voralaksana,7,industrial specialist,Kitiyakara_Voralaksana
x,Minister of Armament,Narisara Nuwattiwong,7,resource industrialist,Narisara_Nuwattiwong
x,Minister of Security,Paribatra Sukhumbhand,7,crime fighter,Paribatra_Sukhumbhand
m,Chief of Air Force,Phra Veharsayarnsilpasit,7,Army Aviation Doctrine,Phra_Veharsayarnsilpasit
m,Chief of Air Force,Phraya Chalermarkart,7,Air Superiority Doctrine,Phraya_Chalermarkart
x,Minister of Armament,Phraya Komarnkullamontri,7,infantry proponent,Phraya_Komarnkullamontri
x,Head of Government,Phraya Manopakorn Nitithada,7,corporate suit,Phraya_Manopakorn_Nitithada
m,Chief of Army,Phraya Sri Sitthisongkram,7,Decisive Battle Doctrine,Phraya_Sri_Sitthisongkram
m,Chief of Staff,Phraya Sri Sitthisongkram,7,School of Fire Support,Phraya_Sri_Sitthisongkram
m,Chief of Air Force,Phraya Tayarnpikart,7,Army Aviation Doctrine,Phraya_Tayarnpikart
x,Foreign Minister,Traitotphrapan Tevakul,7,apologetic clerk,Traitotphrapan_Tevakul
m,Chief of Army,Boworadet Kritsadakorn,8,Guns and Butter Doctrine,Boworadet_Kritsadakorn
m,Chief of Staff,Boworadet Kritsadakorn,8,School of Mass Combat,Boworadet_Kritsadakorn
x,Head of Government,Boworadet Kritsadakorn,8,local tyrant,Boworadet_Kritsadakorn
x,Minister of Security,Phraya Udompong Pensawat,8,silent lawyer,Phraya_Udompong_Pensawat
x,Minister of Armament,Suppayokkasem,8,corrupt kleptocrat,Suppayokkasem
m,Chief of Army,Luang Phibunsongkhram,9,Guns and Butter Doctrine,Plaek_Khittasangkha
m,Chief of Air Force,Luang Wechayanrangsarit,9,Carpet Bombing Doctrine,Luang_Wechayanrangsarit
x,Head of Military Intelligence,Luang Wichitwathakan,9,dismal enigma,Luang_Wichitwathakan
x,Minister of Security,Phao Sriyanond,9,prince of terror,Phao_Sriyanond
x,Minister of Security,Phraya Chasanyabodhi Sriboribarn,9,compassionate gentleman,Phraya_Chasanyabodhi_Sriboribarn
m,Chief of Army,Phraya Ritthi-akkhaney,9,Decisive Battle Doctrine,Phraya_Ritthi-akkhaney
m,Chief of Staff,Phraya Ritthi-akkhaney,9,School of Manoeuvre,Phraya_Ritthi-akkhaney
m,Chief of Navy,Phraya Wicharnchakkrit,9,Open Seas Doctrine,Phraya_Wicharnchakkrit
x,Head of Government,Plaek Khittasangkha,9,reformist soldier,Plaek_Khittasangkha
