ECU,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
40108,Minister of Security,Isidro Ayora Cueva,6,Prince of Terror,M40041
40131,Chief of Staff,Juan de Diaz Mera,6,School of Psychology,M40015
40080,Foreign Minister,Juan de Diaz Mera,6,The Cloak N Dagger Schemer,M40015
40057,Head of Government,Juan de Diaz Mera,6,Corporate Suit,M40015
40039,Head of State,Juan de Diaz Mera,6,Popular Figurehead,M40015
40093,Minister of Armament,Juan de Diaz Mera,6,Corrupt Kleptocrat,M40015
40109,Minister of Security,Juan de Diaz Mera,6,Crooked Kleptocrat,M40015
40095,Minister of Armament,Julio Moreno Peñaherrera,6,Theoretical Scientist,M40045
40162,Chief of Air Force,Julio Salém Gallegos,6,Air Superiority Doctrine,M40047
40174,Foreign Minister,Julio Topar Donoso,6,General Staffer,M40082
40126,Chief of Staff,Luis Larrea Alba,6,School of Psychology,M40027
40187,Head of Government,Luis Larrea Alba,6,Old General,M40027
40186,Head of State,Luis Larrea Alba,6,Resigned Generalissimo,M40027
40170,Head of State,Mariano Suárez Veintimilla,6,Benevolent Gentleman,M40168
40138,Chief of Army,Neptalí Bonifaz Ascásubi,6,Guns and Butter Doctrine,M40028
40179,Head of Government,Neptalí Bonifaz Ascásubi,6,Naive Optimist,M40028
40178,Head of State,Neptalí Bonifaz Ascásubi,6,Die-hard Reformer,M40028
40085,Minister of Armament,Neptalí Bonifaz Ascásubi,6,Administrative Genius,M40028
40077,Foreign Minister,Rafael Vascoñez,6,Iron Fisted Brute,M40077
40121,Head of Military Intelligence,Rafael Vascoñez,6,Technical Specialist,M40077
40107,Minister of Security,Rafael Vascoñez,6,Crime Fighter,M40077
40155,Chief of Navy,Ramon Moran Valverde,6,Base Control Doctrine,M40155
40078,Foreign Minister,Riccardo Orespo Ordoñez,6,Great Compromiser,M40078
40143,Chief of Army,Rodolfo Larrea Alba,6,Static Defence Doctrine,M40027
40191,Head of Government,Sixto Durán Ballén,6,Corporate Suit,ECU_sixto_ballen
40190,Head of State,Sixto Durán Ballén,6,Die-hard Reformer,ECU_sixto_ballen
40172,Foreign Minister,Alberto Larrea Chiriboaga,7,The Cloak N Dagger Schemer,M40003
40123,Head of Military Intelligence,Aurelio Mosquera Narváez,7,Logistics Specialist,M40006
40083,Foreign Minister,Benigno Andrade Flores,7,General Staffer,M40007
40064,Head of Government,Benigno Andrade Flores,7,Old General,M40007
40046,Head of State,Benigno Andrade Flores,7,Resigned Generalissimo,M40007
40099,Minister of Armament,Carlos M. Larrea,7,Administrative Genius,M40042
40137,Chief of Staff,Carlos Mancheno Cajas,7,School of Fire Support,M40048
40066,Head of Government,Carlos Mancheno Cajas,7,Smiling Oilman,M40048
40125,Head of Military Intelligence,Carlos Mancheno Cajas,7,Dismal Enigma,M40048
40048,Head of State,Carlos Mancheno Cajas,7,Pig-headed Isolationist,M40048
40061,Head of Government,Gilberto Enríquez Gallo,7,Old General,M40008
40043,Head of State,Gilberto Enríquez Gallo,7,Resigned Generalissimo,M40008
40136,Chief of Staff,Guillermo Freire Posso,7,School of Mass Combat,M40016
40124,Head of Military Intelligence,Guillermo Freire Posso,7,Industrial Specialist,M40016
40098,Minister of Armament,Gustave Uriarte,7,Corrupt Kleptocrat,M40014
40156,Chief of Navy,Hugo Endara Peñaherrera,7,Indirect Approach Doctrine,M40019
40135,Chief of Staff,Hugo Endara Peñaherrera,7,School of Manoeuvre,M40019
40157,Chief of Navy,Jorge Escobedo Duarte,7,Open Seas Doctrine,M40151
40015,Minister of Security,Juan de Diaz Mera,7,Crooked Kleptocrat,M40015
40149,Chief of Army,Juan Pablo Martinez Iguarte,7,Elastic Defence Doctrine,M40149
40063,Head of Government,Julio Moreno Peñaherrera,7,Old Admiral,M40045
40045,Head of State,Julio Moreno Peñaherrera,7,Autocratic Charmer,M40045
40111,Minister of Security,Julio Moreno Peñaherrera,7,Man of the People,M40045
40081,Foreign Minister,Luis Bossano,7,Ideological Crusader,M40081
40148,Chief of Army,Luis Cabrera Sevilla,7,Armoured Spearhead Doctrine,M40018
40062,Head of Government,Manuel Borrero Gonzalez,7,Political Protege,M40044
40044,Head of State,Manuel Borrero Gonzalez,7,Stern Imperialist,M40044
40110,Minister of Security,Manuel Borrero Gonzalez,7,Compassionate Gentleman,M40044
40163,Chief of Air Force,Ramon Castro Jíjon,7,Air Superiority Doctrine,M40020
