U07,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
557468,Minister of Armament,Alexander Raven-Thomson,8,Strategic Air Proponent,M1071
557476,Minister of Security,Alexander Scotland,8,Prince of Terror,kaiserreich_UK_Alexander_Scotland
557412,Head of Government,Archibald Ramsay,8,Flamboyant Tough Guy,M1054
557477,Minister of Security,Arnold Spencer-Leese,8,Prince of Terror,M1015
557422,Foreign Minister,Baron Ampthill,8,Iron Fisted Brute,
557521,Chief of Army,Duke of Westminster,8,Armoured Spearhead Doctrine,M1053
557511,Chief of Staff,Duke of Westminster,8,School of Manoeuvre,M1053
557537,Chief of Navy,E.H. Cole,8,Open Seas Doctrine,M1143
557540,Chief of Air Force,Earl of Portsmouth,8,Vertical Envelopment Doctrine,
557531,Chief of Navy,Guy Russell,8,Decisive Naval Battle Doctrine,
557423,Foreign Minister,Henry Williamson,8,Biased Intellectual,M1052
557500,Head of Military Intelligence,John Amery,8,Dismal Enigma,M1110
557478,Minister of Security,John Beckett,8,Compassionate Gentleman,M1091
557541,Chief of Air Force,John Chamier,8,Vertical Envelopment Doctrine,M1020
557467,Minister of Armament,Neil Francis-Hawkins,8,Submarine Proponent,M1070
557441,Minister of Armament,Noel Pemberton-Billing,8,Air Superiority Proponent,kaiserreich_UK_Noel_Pemberton_Billing
557442,Minister of Armament,Rotha Beryl Lintorn-Orman,8,Military Entrepreneur,Rotha Beryl Lintorn-Orman
