CZE,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
24140,Chief of Air Force,Joseph Frantisek,5,Air Superiority Doctrine,M24140
24053,Foreign Minister,Kamil Krofta,5,Great Compromiser,M24053
24068,Minister of Armament,Karel Basilek,5,Military Entrepreneur,M24068
24010,Chief of Air Force,Karel Janousek,5,Army Aviation Doctrine,M24010
24142,Chief of Air Force,Karel Kuttelwascher,5,Army Aviation Doctrine,M24142
24008,Chief of Army,Ludvik Krejci,5,Static Defence Doctrine,M24008
24173,Head of Government,Rudolf Mlcoch,5,Political Protege,M100000019
24125,Chief of Army,Sergej Ján Ingr,5,Elastic Defence Doctrine,M24114
24114,Chief of Staff,Sergej Ján Ingr,5,School of Manoeuvre,M24114
24100,Head of Military Intelligence,Tobias Kaller,5,Industrial Specialist,M24100
24082,Minister of Security,Victor Folancec,5,Crime Fighter,M24082
24112,Chief of Staff,Vladimir Kajdos,5,School of Fire Support,M24112
24047,Head of Government,Bedrich Homola,6,Happy Amateur,M24047
24103,Head of Military Intelligence,Bedrich Homola,6,Dismal Enigma,M24047
24188,Chief of Staff,Emanuel Moravec,6,School of Defence,CZE_Moravec
24088,Minister of Security,Francois Hodac,6,Silent Lawyer,M24088
24072,Minister of Armament,Frantisek Bekr,6,Theoretical Scientist,M24072
24156,Head of Government,Jan Cerny,6,Flamboyant Tough Guy,M100000002
24158,Minister of Security,Jan Cerny,6,Compassionate Gentleman,M100000002
24091,Minister of Security,Jan Kapras,6,Man of the People,M24015
24045,Head of Government,Jan Syrový,6,Old General,M24034
24182,Chief of Army,Jaroslav Eminger,6,Elastic Defence Doctrine,kai_CZEemgr
24165,Minister of Armament,Jiri Hejda,6,Laissez-Faire Capitalist,M100000011
24175,Head of Government,Josef Bíly,6,Old General,M100000053
24089,Minister of Security,Joseph Jezek,6,Crime Fighter,M24016
24057,Foreign Minister,Juraj Slávik,6,Biased Intellectual,M24057
24090,Minister of Security,Juraj Slávik,6,Man of the People,M24057
24060,Foreign Minister,Petr Zenkl,6,Great Compromiser,CZE_Zenkl
24157,Minister of Armament,Petr Zenkl,6,Resource Industrialist,CZE_Zenkl
24169,Head of Military Intelligence,Vladimír Krajina,6,Industrial Specialist,M100000015
24074,Minister of Armament,Antonin Pavlik,7,Tank Proponent,M24074
24128,Chief of Army,Bedrich Homola,7,Static Defence Doctrine,M24047
24059,Foreign Minister,Bedrich Neumann,7,General Staffer,M24059
24104,Head of Military Intelligence,Bohumil Nemec,7,Industrial Specialist,M24104
24106,Head of Military Intelligence,Bohuslav Vseticka,7,Logistics Specialist,M24106
24070,Minister of Armament,Emilé Dobricek,7,Administrative Genius,M24070
24155,Minister of Armament,Felix zu Schwarzenberg,7,Laissez-Faire Capitalist,kaiserreich fvschwarzenberg
24183,Chief of Staff,Frantisek Bartos,7,School of Manoeuvre,kai_CZEfrnbrt
24127,Chief of Army,Jan Syrovy,7,Guns and Butter Doctrine,M24034
24073,Minister of Armament,Karel Cérny,7,Infantry Proponent,M24073
24058,Foreign Minister,Oldrich Otamír,7,Apologetic Clerk,M24058
24046,Head of Government,Rudolf Beran,7,Political Protege,M24012
24105,Head of Military Intelligence,Rudolf Beran,7,Political Specialist,M24012
24166,Foreign Minister,Frantisek Hodác,8,Ideological Crusader,M100000012
24159,Chief of Staff,Jiri Stribrny,8,School of Manoeuvre,M100000004
24132,Chief of Army,Alois Elias,9,Static Defence Doctrine,M24040
24049,Head of Government,Alois Elias,9,Old General,M24040
24108,Head of Military Intelligence,Bohumil Krpec,9,Logistics Specialist,M24108
24075,Minister of Armament,Ernst Kundt,9,Resource Industrialist,M24014
24078,Minister of Armament,Jan Prhcla,9,Infantry Proponent,M24078
24062,Foreign Minister,Jaromir Kricaj,9,Apologetic Clerk,M24062
24131,Chief of Army,Jaroslav Behac,9,Elastic Defence Doctrine,M24131
24170,Head of Government,Jaroslav Krejci,9,Political Protege,M100000016
24092,Minister of Security,Johann Schwerin von Krosigk,9,Man of the People,M24037
24050,Head of Government,Joseph Jezek,9,Flamboyant Tough Guy,M24016
24107,Head of Military Intelligence,Joseph Jezek,9,Political Specialist,M24016
24048,Head of Government,Karel Kalemcek,9,Happy Amateur,M24048
24077,Minister of Armament,Karel Kalemcek,9,Administrative Genius,M24048
24094,Minister of Security,Karl Hermann Frank,9,Crooked Kleptocrat,M24011
24061,Foreign Minister,Konrad Henlein,9,Ideological Crusader,M24013
24093,Minister of Security,Kurt Daluege,9,Efficient Sociopath,M24038
24146,Minister of Security,Otakar Eischer,9,Compassionate Gentleman,M24087
24076,Minister of Armament,Otokar Sebrin,9,Laissez-Faire Capitalist,M24076
24133,Chief of Army,Otto Bláha,9,Armoured Spearhead Doctrine,M24018
24164,Chief of Staff,Radola Gajda,9,School of Defence,M100000009
24163,Minister of Security,Richard Bienert,9,Silent Lawyer,M100000008
24138,Chief of Navy,Robert Rychtrmoc,9,Open Seas Doctrine,M24017
24120,Chief of Staff,Robert Rychtrmoc,9,School of Manoeuvre,M24017
