ENG,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,Head of Government,David Lloyd George,4,Naive Optimist,M1160
,Foreign Minister,Herbert Morrison,4,Biased Intellectual,kaiserreich morrison
,Minister of Armament,Hugh Dalton,4,Resource Industrialist,M1065
,Minister of Security,James Chuter Ede,4,Prince of Terror,M1089
,Minister of Armament,Leslie Hore-Belisha,4,Infantry Proponent,M1163
,Chief of Air Force,William Sholto Douglas,4,Air Superiority Doctrine,L1479
,Chief of Staff,Alan Brooke,5,School of Mass Combat,kaiserreich brooke
,Minister of Armament,Alfred Duff Cooper,5,Battle Fleet Proponent,M1178
,Minister of Armament,Andrew Duncan,5,Resource Industrialist,M1175
,Foreign Minister,Anthony Eden,5,Ideological Crusader,M1003
,Minister of Armament,Arthur Horner,5,Resource Industrialist,M1076
,Chief of Air Force,Arthur Tedder,5,Army Aviation Doctrine,kaiserreich tedder
,Minister of Security,Austen Chamberlain,5,Efficient Sociopath,M1082
,Head of Military Intelligence,Brendan Bracken,5,Political Specialist,kaiserreich brendan
,Minister of Security,Brendan Bracken,5,Silent Lawyer,kaiserreich brendan
,Minister of Security,David Maxwell Fyfe,5,Compassionate Gentleman,M1085
,Minister of Security,Donald Bradley Somervell,5,Crime Fighter,M1086
,Minister of Armament,Henry Margesson,5,Resource Industrialist,M1180
,Minister of Armament,Hibbert Cross,5,Laissez-Faire Capitalist,M1177
,Head of Military Intelligence,Hugh Sinclair,5,Logistics Specialist,kaiserreich sinclair
,Minister of Armament,John Anderson,5,Laissez-Faire Capitalist,M1061
,Minister of Security,John Anderson,5,Compassionate Gentleman,M1061
,Chief of Staff,John Dill,5,School of Fire Support,M1119
,Minister of Armament,John Moore-Brabazon,5,Air Superiority Proponent,M1176
,Foreign Minister,John Selwyn Lloyd,5,Biased Intellectual,M1046
,Minister of Armament,John Simon,5,Resource Industrialist,M1005
,Minister of Security,John Simon,5,Crime Fighter,M1005
,Chief of Army,John Vereker,5,Armoured Spearhead Doctrine,kaiserreich verker
,Chief of Staff,John Vereker,5,School of Manoeuvre,kaiserreich verker
,Head of Military Intelligence,Kim Philby,5,Technical Specialist,kaiserreich kimp
,Minister of Armament,Kingsley Wood,5,Resource Industrialist,M1062
,Chief of Army,Miles Dempsey,5,Armoured Spearhead Doctrine,L1099
,Head of Government,Neville Chamberlain,5,Naive Optimist,M1004
,Minister of Armament,Neville Chamberlain,5,Laissez-Faire Capitalist,M1004
,Minister of Armament,Oliver Stanley,5,Military Entrepreneur,M1179
,Chief of Air Force,Owen Boyd,5,Air Superiority Doctrine,kaiserreich tboyd
,Minister of Armament,Percy Grigg,5,Laissez-Faire Capitalist,M1181
,Minister of Armament,Robert Butler,5,Theoretical Scientist,M1064
,Head of Military Intelligence,Robert Cecil,5,Industrial Specialist,kaiserreich cecil
,Head of Military Intelligence,Robert Menzies,5,Dismal Enigma,kaiserreich menzies
,Foreign Minister,Samuel Hoare,5,Apologetic Clerk,M1083
,Minister of Security,Samuel Hoare,5,Man of the People,M1083
,Chief of Army,Sir John Dill,5,Elastic Defence Doctrine,M1119
,Head of Government,Stanley Baldwin,5,Backroom Backstabber,M1002
,Minister of Security,Stanley Baldwin,5,Man of the People,M1002
,Head of Military Intelligence,Stewart Menzies,5,Political Specialist,M1172
,Minister of Armament,Thomas Inskip,5,Air Superiority Proponent,M1174
,Minister of Armament,A.J.P. Taylor,7,Laissez-Faire Capitalist,M1073
,Minister of Armament,Alliott Vernon-Roe,7,Air to Ground Proponent,M1069
,Minister of Security,Arthur Chesterton,7,Back Stabber,M1092
,Foreign Minister,Arthur Wellesley,7,Great Compromiser,M1050
,Chief of Navy,Barry E. Domvile,7,Power Projection Doctrine,M1019
,Chief of Staff,Barry E. Domvile,7,School of Psychology,M1019
,Head of Military Intelligence,Barry E. Domvile,7,Naval Intelligence Specialist,M1019
,Chief of Air Force,Donald Marendaz,7,Air Superiority Doctrine,M1153
,Minister of Armament,Jorian Jenks,7,Battle Fleet Proponent,M1072
,Foreign Minister,Josslyn Erroll,7,The Cloak N Dagger Schemer,M1051
,Head of Military Intelligence,Maxwell Knight,7,Logistics Specialist,M1094
,Minister of Security,Maxwell Knight,7,Man of the People,M1094
,Chief of Air Force,Railton Freeman,7,Naval Aviation Doctrine,M1154
,Head of Military Intelligence,S.P. James,7,Industrial Specialist,M1016
,Chief of Air Force,Williams Sempill,7,Carpet Bombing Doctrine,M1152
,Minister of Armament,Alexander Raven-Thomson,8,Strategic Air Proponent,M1071
,Minister of Security,Arnold Spencer-Leese,8,Prince of Terror,M1015
,Chief of Navy,E.H. Cole,8,Open Seas Doctrine,M1143
,Foreign Minister,Henry Williamson,8,Biased Intellectual,M1052
,Minister of Security,John Beckett,8,Compassionate Gentleman,M1091
,Chief of Air Force,John Chamier,8,Vertical Envelopment Doctrine,M1020
,Minister of Armament,Neil Francis-Hawkins,8,Submarine Proponent,M1070
