LIT,Ruling Cabinet - start,Name,Ideology,Personality,Picturename
28135,Chief of Navy,Jurgis Saulys,6,Indirect Approach Doctrine,M28107
28107,Head of Military Intelligence,Jurgis Saulys,6,Technical Specialist,M28107
28156,Foreign Minister,Kazys Bizauskas,6,Biased Intellectual,kai_litkaszbz
28127,Chief of Army,Kazys Musteikis,6,Guns and Butter Doctrine,M28125
28077,Minister of Armament,Leonas Bistras,6,laissez-faire capitalist,M28077
28143,Chief of Air Force,Mykolas Filipavicius,6,Air Superiority Doctrine,M28093
28093,Minister of Security,Mykolas Filipavicius,6,Compassionate Gentleman,M28093
28148,Foreign Minister,Oskaras Milasius,6,Biased Intellectual,kaiserreich oscarmilosz
28147,Head of Government,Oskaras Milasius,6,Silent Workhorse,kaiserreich oscarmilosz
28090,Minister of Security,Pranas Dovydaitis,6,Silent Lawyer,M28090
28091,Minister of Security,Pranas Tiskevicius,6,Efficient Sociopath,M28015
28064,Foreign Minister,Stasys Lozoraitis,6,Apologetic Clerk,M28003
28050,Head of Government,Stasys Lozoraitis,6,Happy Amateur,M28003
28155,Head of Government,Vincas Mickevecius,6,backroom backstabber,LitMickevicius
28060,Foreign Minister,Antanas Merkys,7,Ideological Crusader,M28035
28047,Head of Government,Dovas Zaunius,7,Happy Amateur,M28006
28048,Head of Government,Emerikas Gailevicius,7,Flamboyant Tough Guy,M28048
28104,Head of Military Intelligence,Emerikas Gailevicius,7,Industrial Specialist,M28048
28059,Foreign Minister,Ernestas Galvanauskas,7,Apologetic Clerk,M28059
28103,Head of Military Intelligence,Franciskus Ivinskis,7,Logistics Specialist,M28103
28060,Foreign Minister,Friedrich von Scheide,7,Iron Fisted Brute,M28060
28126,Chief of Army,Gedrivius Palionis,7,Decisive Battle Doctrine,M28126
28074,Minister of Armament,Jonas Cernius,7,Battle Fleet Proponent,M28014
28117,Chief of staff,Jonas Zemaitis,7,School of Psychology,M28036
28105,Head of Military Intelligence,Juozas Alsauskas,7,Naval Intelligence Specialist,M28105
28058,Foreign Minister,Juozas Urbsys,7,Ideological Crusader,M28058
28090,Minister of Security,Mecislovas Reinys,7,Efficient Sociopath,M28090
28089,Minister of Security,Moses Rothstein,7,Back stabber,M28089
28088,Minister of Security,Svajunas Sabaliauskas,7,Crooked Kleptocrat,M28088
28087,Minister of Security,Valdemaras Vytautas-Carneckis,7,Crime Fighter,M28004
28154,Head of Government,Vincas Mickevecius,7,backroom backstabber,LitMickevicius
28158,Minister of Armament,Vytautas Petrulis,7,laissez-faire capitalist,kai_litvtspr
28075,Minister of Armament,Wolfgang Augustin Wadalag,7,Administrative Genius,M28075
28010,Chief of Air Force,Antanas Gustaitis,8,Army Aviation Doctrine,M28010
28046,Head of Government,Antanas Merkys,8,Smiling Oilman,M28035
28073,Minister of Armament,Antanas Smetona,8,Air to Ground Proponent,M28001
28005,Minister of Security,Antanas Smetona,8,Compassionate Gentleman,M28001
28006,Head of Military Intelligence,Dovas Zaunius,8,Political Specialist,M28006
28009,Chief of Navy,Garnis Dirmantas,8,Open Seas Doctrine,M28009
28051,Head of Government,J.K.D. Kazimieras II Tiskevicius,8,Corporate Suit,M28021
28049,Head of Government,J.K.D. Mindaugas III,8,Backroom Backstabber,kaiserreich mindaugasiii
28114,Chief of staff,Jonas Cernius,8,School of Manoeuvre,M28014
28045,Head of Government,Jonas Cernius,8,Ambitious Union Boss,M28014
28124,Chief of Army,Jonas Galvydis-Bykauskas,8,Static Defence Doctrine,M28007
28007,Chief of staff,Jonas Galvydis-Bykauskas,8,School of Defence,M28007
28102,Head of Military Intelligence,Juozas Baltakis,8,Political Specialist,M28102
28002,Head of Government,Juozas Tubelis,8,Political Protege,M28002
28101,Head of Military Intelligence,Juozas Tubelis,8,Logistics Specialist,M28002
28085,Minister of Security,Mykolas Slezevicius,8,Prince of Terror,M28085
28003,Foreign Minister,Stasys Lozoraitis,8,Ideological Crusader,M28003
28008,Chief of Army,Stasys Rastikis,8,Elastic Defence Doctrine,M28008
28115,Chief of staff,Stasys Rastikis,8,School of Fire Support,M28008
28004,Minister of Armament,Valdemaras Vytautas-Carneckis,8,Military Entrepreneur,M28004
28071,Minister of Armament,Vladas Jurgutis,8,Resource Industrialist,M28071
28044,Head of Government,Vladas Mironas,8,Naive Optimist,M28044
28086,Minister of Security,Vladas Mironas,8,Efficient Sociopath,M28044
28121,Chief of Army,Albinas Cepas-Cepauskas,9,Armoured Spearhead Doctrine,M28121
28069,Minister of Armament,Augustinas Voldemaras,9,Resource Industrialist,M28031
28131,Chief of Navy,Ignas Seinius,9,Power Projection Doctrine,M28056
28056,Foreign Minister,Ignas Seinius,9,Apologetic Clerk,M28056
28070,Minister of Armament,Kazimieras Viktoras Tiskevicius,9,Strategic Air Proponent,M28070
28139,Chief of Air Force,Kazys Skirpa,9,Army Aviation Doctrine,M28031
28083,Minister of Security,Kazys Skirpa,9,Prince of Terror,M28031
28055,Foreign Minister,Petras Domarkas,9,Biased Intellectual,M28055
28113,Chief of staff,Petras Kubiliunas,9,School of Mass Combat,M28043
28057,Foreign Minister,Petras Kubiliunas,9,Ideological Crusader,M28043
28043,Head of Government,Petras Kubiliunas,9,Silent Workhorse,M28043
28123,Chief of Army,Petras Plechavicius,9,Elastic Defence Doctrine,M28070
28070,Minister of Armament,Petras Plechavicius,9,Military Entrepreneur,M28070
28099,Head of Military Intelligence,Pranciskis Misiunas,9,Logistics Specialist,M28042
28042,Head of Government,Pranciskus Misiunas,9,Happy Amateur,M28042
28100,Head of Military Intelligence,Theodor von Renteln,9,Dismal Enigma,M28033
28084,Minister of Security,Wilhelm Kube,9,Man of the People,M28084
