SAF,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
70039,Foreign Minister,D. F. Malan,8,The Cloak N Dagger Schemer,M70029
70029,Head of Government,D. F. Malan,8,Flamboyant Tough Guy,M70029
70060,Minister of Security,D. F. Malan,8,Crime Fighter,M70029
70091,Minister of Armament,F.C. Erasmus,8,Submarine Proponent,M70063
70063,Minister of Security,F.C. Erasmus,8,Efficient Sociopath,M70063
70105,Head of Military Intelligence,Hendrijk F. Verwoerd,8,Technical Specialist,M70055
70055,Minister of Security,Hendrijk F. Verwoerd,8,Prince of Terror,M70055
70012,Head of Government,J. F. van Rensburg,8,Old General,M70011
70103,Foreign Minister,J. G. Strijdom,8,Iron Fisted Brute,M70041
70041,Minister of Armament,J. G. Strijdom,8,Resource Industrialist,M70041
70062,Minister of Security,J. G. Strijdom,8,Back Stabber,M70041
70049,Minister of Armament,Oswald Pirow,8,Military Entrepreneur,M70014
70097,Minister of Security,Oswald Pirow,8,Crime Fighter,kaiserreich_SAF_Pirow
70087,Chief of Air Force,S.P. Le Roux,8,Vertical Envelopment Doctrine,M70043
70043,Minister of Armament,S.P. Le Roux,8,Administrative Genius,M70043
