PAK,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
564140,Minister of Armament,Minocher Rustom Masani,5,Balanced Budget Economy,PAKMin
564139,Head of Government,Minocher Rustom Masani,5,Corporate Suit,PAKMin
564063,Head of Military Intelligence,Sardar Ujjal Singh,5,Technical Specialist,PAKSar
564040,Minister of Armament,Sir Adershir Dalal,5,Construction Magnate,PAKAde
564099,Chief of Army,Sir Amarsinhji Sahib,5,Guns and Butter Doctrine,PAKAma
564005,Minister of Security,Sir C. P. Ramaswami Iyer,5,Crime Fighter,PAKCP
564062,Minister of Security,Sir Syed Sultan Ahmed,5,Silent Lawyer,PAKSye
564064,Minister of Armament,Sobha Singh,5,Resource Industrialist,PAKSob
564060,Head of Government,V. S. Srinivasa Sastri,5,Flamboyant Tough Guy,PAKVss
564146,Chief of Staff,Wamanrao Sawant,5,School of Fire Support,PAKWam
564109,Chief of Navy,Adhar Kumar Chatterjee,6,Indirect Approach Doctrine,INDCha
564036,Minister of Armament,Aga Khan III,6,Construction Magnate,PAKAga
564020,Chief of Navy,Arthur Bedford,6,Indirect Approach Doctrine,PAKBed
564101,Minister of Armament,Damodaran Asan A.S,6,Bank President,INDAsa
564111,Minister of Security,Ghazanfar Ali Khan,6,Crime Fighter,PAKGha
564085,Chief of Staff,Hugh Elles,6,School of Manoeuvre,PAKEll
564032,Foreign Minister,Jagatjit Singh Bahadur,6,Biased Intellectual,PAKJaga
564019,Chief of Navy,John Henry Godfrey,6,Open Seas Doctrine,PAKGod
564053,Minister of Security,Khengarji III Sawai Bahadur,6,Compassionate Gentleman,PAKKhen
564044,Chief of Staff,Khengarji III Sawai Bahadur,6,School of Defence,PAKKhen
564097,Chief of Navy,Krishna Kumarsinhji Bhavsinhji,6,Base Control Doctrine,PAKBha
564102,Minister of Security,M.A. Chacko,6,Crime Fighter,INDChac
564030,Foreign Minister,Madan Mohan Malaviya,6,Great Compromiser,PakMadan
564057,Head of Military Intelligence,Maharaja Bhagvatsingh Sahib,6,Political Specialist,PAKBhaga
564007,Chief of Army,Maharaja Ganga Singh,6,Decisive Battle Doctrine,PAKGanga
564002,Head of Government,Maharaja Ganga Singh,6,Respected War Hero,PAKGanga
564045,Chief of Staff,Maharaja Ranbir Singh,6,School of Psychology,PAKRanbir
564134,Chief of Staff,Maharaja Sadul Singh,6,School of Mass Combat,PAKSadulSingh
564027,Chief of Army,Maharaja Sajjan Singh,6,Elastic Defence Doctrine,PAKSaj
564054,Minister of Security,Maharaja Sawai Man Singh II,6,Man of the People,PAKSawai
564088,Minister of Security,Malik Amir Mohammad Khan,6,Compassionate Gentleman,PAKMoh
564142,Head of Government,Malik Khizar Hayat Tiwana,6,Flamboyant Tough Guy,PAKTiw
564035,Foreign Minister,Malik Khizar Hayat Tiwana,6,Ideological Crusader,PAKTiw
564026,Chief of Army,Malik Umar Hayat Khan,6,Armoured Spearhead Doctrine,PAKUmar
564143,Foreign Minister,Muhammad Zafarullah Khan,6,Great Compromiser,PAKZaf
564110,Chief of Navy,Ram Dass Katari,6,Indirect Approach Doctrine,INDRam
564107,Chief of Air Force,Shri Krishna Chandra Welingkar,6,Air Superiority Doctrine,INDWel
564144,Minister of Security,Sir Abdul Qadir,6,Compassionate Gentleman,PAKQad
564003,Foreign Minister,Sir Atul Chandra Chatterjee,6,Ideological Crusader,PAKAtul
564006,Head of Military Intelligence,Sir Basil John Gould,6,Logistics Specialist,PAKGou
564018,Foreign Minister,Sir Benegal Narsing Rau,6,Biased Intellectual,PAKNar
564037,Minister of Armament,Sir Benegal Rama Rau,6,Balanced Budget Economy,PAKBene
564004,Minister of Armament,Sir C. D. Deshmukh,6,Administrative Genius,PAKCD
564112,Head of Government,Sir Chhotu Ram,6,Flamboyant Tough Guy,PAKRam
564074,Minister of Security,Sir Chhotu Ram,6,Man of the People,PAKRam
564009,Chief of Navy,Sir Humphrey Thomas Walwyn,6,Power Projection Doctrine,PAKWal
564075,Minister of Armament,Sir Mian Fazl-i-Husain,6,Planned Economy Proponent,PAKFaz
564028,Chief of Staff,Sir Sikander Hayat Khan,6,School of Psychology,PAKSit
564073,Head of Government,Sir Sikander Hayat Khan,6,Silent Workhorse,PAKSit
564011,Chief of Air Force,Trilochan Singh,6,Carpet Bombing Doctrine,PAKTri
564100,Foreign Minister,V. S. Subramanya Iyer,6,Apologetic Clerk,INDIye
564042,Minister of Armament,Alfred Knox,7,Military Entrepreneur,PAKKno
564047,Chief of Staff,Alfred Knox,7,School of Fire Support,PAKKno
564021,Chief of Navy,Herbert Fitzherbert,7,Base Control Doctrine,PAKFitz
564056,Head of Military Intelligence,John Burnett-Stuart,7,Logistics Specialist,PAKBurn
564008,Chief of Staff,Maharaja Bhupinder Singh,7,School of Defence,PAKBhup
564052,Minister of Security,Maharaja Pratap Singh Gaekwad,7,Media Magnate,PAKPratap
564031,Foreign Minister,Maharaja Yadavindra Singh,7,Apologetic Clerk,PAKYada
564046,Chief of Staff,Sir Claud Jacob,7,School of Fire Support,PAKJac
564023,Chief of Army,Sir Sadeq Mohammad Khan V,7,Decisive Battle Doctrine,PAKSad
