EGY,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
512034,Foreign Minister,Ahmed Khashaba Pasha,6,Apologetic Clerk,M512034
512003,Foreign Minister,Ali Mahir Pasha,6,Great Compromiser,M512002
512046,Minister of Armament,Aly Tahal,6,Laissez-Faire Capitalist,M512046
512059,Minister of Security,Amil al-Husseini,6,Efficient Sociopath,M512059
512007,Chief of Staff,Hassan Sabry Pasha,6,School of Defence,M512007
512030,Foreign Minister,Hassan Sabry Pasha,6,Apologetic Clerk,M512007
512015,Head of Government,Hassan Sabry Pasha,6,Old General,M512007
512008,Minister of Armament,Hassan Sabry Pasha,6,Keynesian Economy,M512007
512033,Foreign Minister,Ibrahim Abdel Hadi,6,The Cloak N Dagger Schemer,M512033
512112,Head of Government,Ibrahim Abdel Hadi,6,Political Protege,M512033
512045,Minister of Armament,M.M. Faruq I,6,Corrupt Kleptocrat,M512045
512010,Chief of Air Force,M.M. Fuad I,6,Vertical Envelopment Doctrine,M512010
512061,Minister of Security,M.M. Nawal Zaki,6,Man of the People,M512061
512071,Head of Military Intelligence,Mohammed al Fransawi,6,Technical Specialist,M512004
512004,Minister of Armament,Mohammed al Fransawi,6,Battle Fleet Proponent,M512004
512104,Chief of Air Force,Mohammed Azmy Pasha,6,Army Aviation Doctrine,M512096
512096,Chief of Navy,Mohammed Azmy Pasha,6,Base Control Doctrine,M512096
512006,Head of Military Intelligence,Mohammed Hilmi Issa,6,Dismal Enigma,M512006
512088,Chief of Army,Mohammed Naguib,6,Decisive Battle Doctrine,M512088
512060,Minister of Security,Muhammad Mahmoud Pasha,6,Compassionate Gentleman,M512017
512005,Minister of Security,Mustafa an-Nahhas Pasha,6,Silent Lawyer,M512005
512072,Head of Military Intelligence,Pierre Lacau,6,Industrial Specialist,M512072
512031,Foreign Minister,Salib Sami Bey,6,Iron Fisted Brute,M512031
512032,Foreign Minister,Muhammad Mahmoud Pasha,7,Biased Intellectual,M512017
512047,Minister of Armament,Muhammad Mahmoud Pasha,7,Industrialiser,M512017
512014,Head of Government,Mustafa an-Nahhas Pasha,7,Flamboyant Tough Guy,M512005
