GEO,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
519030,Foreign Minister,Kita Abashidze,5,The Cloak N Dagger Schemer,GEO_Abashidze
519073,Head of Military Intelligence,Kita Abashidze,5,Technical Specialist,GEO_Abashidze
519029,Foreign Minister,Konstantin A. Chkheidze,5,Great Compromiser,GEO_Chkheidze
519060,Minister of Security,Konstantine Gamsakhurdia,5,Crime Fighter,GEO_Gamsakhurdia
519046,Minister of Armament,Pavle Ingorokva,5,Bank President,GEO_Ingorokva
519109,Chief of Air Force,Rostom Muskhelishvili,5,Vertical Envelopment Doctrine,GEO_ROMuskhelishvili
519061,Minister of Security,Simon Janashia,5,Silent Lawyer,GEO_Janashia
519104,Chief of Navy,Stepane Akhmeteli,5,Open Seas Doctrine,GEO_Akhmeteli
519045,Minister of Armament,Teymuraz C. Bagration,5,Laissez-Faire Capitalist,GEO_TeymurazBagration
519043,Minister of Armament,Akaki Khoshtaria,6,Laissez-Faire Capitalist,GEO_Khoshtaria
519072,Head of Military Intelligence,Ekvtime Takaishvili,6,Industrial Specialist,GEO_Takaishvili
519044,Minister of Armament,Ekvtime Takaishvili,6,Resource Industrialist,GEO_Takaishvili
519042,Minister of Armament,Georges V. Matchabelli,6,Administrative Genius,GEO_Matchabelli
519041,Minister of Armament,Giorgi Juruli,6,Industrialiser,GEO_Juruli
519092,Chief of Army,Giorgi Khimshiashvili,6,Guns and Butter Doctrine,GEO_Khimshiashvili
519081,Chief of Staff,Giorgi Khimshiashvili,6,School of Fire Support,GEO_Khimshiashvili
519059,Minister of Security,Giorgi Khimshiashvili,6,Crime Fighter,GEO_Khimshiashvili
519057,Minister of Security,Ivane Kazbegi,6,Back Stabber,GEO_Kazbegi
519093,Chief of Army,Kakutsa Cholokashvili,6,Elastic Defence Doctrine,GEO_Cholokashvili
519080,Chief of Staff,Kakutsa Cholokashvili,6,School of Mass Combat,GEO_Cholokashvili
519070,Head of Military Intelligence,Kakutsa Cholokashvili,6,Logistics Specialist,GEO_Cholokashvili
519094,Chief of Army,Leo Kereselidze,6,Armoured Spearhead Doctrine,GEO_Kereselidze
519082,Chief of Staff,Leo Kereselidze,6,School of Manoeuvre,GEO_Kereselidze
519020,Head of Government,Leo Kereselidze,6,Old General,GEO_Kereselidze
519071,Head of Military Intelligence,Leo Kereselidze,6,Political Specialist,GEO_Kereselidze
519058,Minister of Security,Leo Kereselidze,6,Man of the People,GEO_Kereselidze
519028,Foreign Minister,Revaz Gabashvili,6,Ideological Crusader,GEO_Gabashvili
519026,Foreign Minister,Simon Sidamon-Eristoff,6,General Staffer,GEO_Eristoff
519108,Chief of Air Force,Svimon Tsitsishvili,6,Air Superiority Doctrine,GEO_Tsitsishvili
519027,Foreign Minister,Svimon Tsitsishvili,6,Apologetic Clerk,GEO_Tsitsishvili
519103,Chief of Navy,Varden Tsulukidze,6,Base Control Doctrine,GEO_Tsulukidze
519089,Chief of Army,Aleksandre Andronikashvili,7,Armoured Spearhead Doctrine,GEO_AlekAndronikashvili
519077,Chief of Staff,Aleksandre Andronikashvili,7,School of Manoeuvre,GEO_AlekAndronikashvili
519056,Minister of Security,Aleksandre Andronikashvili,7,Crime Fighter,GEO_AlekAndronikashvili
519107,Chief of Air Force,Alexander N. Eristoff,7,Army Aviation Doctrine,GEO_ANEristoff
519091,Chief of Army,Alexander N. Eristoff,7,Decisive Battle Doctrine,GEO_ANEristoff
519079,Chief of Staff,Alexander N. Eristoff,7,School of Psychology,GEO_ANEristoff
519040,Minister of Armament,Alexander N. Eristoff,7,Tank Proponent,GEO_ANEristoff
519055,Minister of Security,Archbishop Melchizedek,7,Efficient Sociopath,GEO_Melchizedek
519054,Minister of Security,Aslan-Beg Abashidze,7,Silent Lawyer,GEO_AslanAbashidze
519090,Chief of Army,Giorgi Kvinitadze,7,Guns and Butter Doctrine,GEO_Kvinitadze
519076,Chief of Staff,Giorgi Kvinitadze,7,School of Mass Combat,GEO_Kvinitadze
519068,Head of Military Intelligence,Giorgi Kvinitadze,7,Logistics Specialist,GEO_Kvinitadze
519024,Foreign Minister,Grigol Robakidze,7,Biased Intellectual,GEO_Robakidze
519019,Head of Government,Ivane Javakhishvili,7,Flamboyant Tough Guy,GEO_IvaneJavakhishvili
519069,Head of Military Intelligence,Ivane Javakhishvili,7,Dismal Enigma,GEO_IvaneJavakhishvili
519038,Minister of Armament,Kote Andronikashvili,7,Resource Industrialist,GEO_Andronikashvili
519102,Chief of Navy,Levan Klimiashvili,7,Power Projection Doctrine,GEO_Klimiashvili
519025,Foreign Minister,Mikheil G. Tsereteli,7,Great Compromiser,GEO_Tsereteli
519120,Head of Government,Mikheil G. Tsereteli,7,Flamboyant Tough Guy,GEO_Tsereteli
519053,Minister of Security,Patriarch Callistratus,7,Man of the People,GEO_Callistratus
519078,Chief of Staff,Simon Bagration-Mukhraneli,7,School of Defence,GEO_PrinceSimon
519039,Minister of Armament,Simon Bagration-Mukhraneli,7,Military Entrepreneur,GEO_PrinceSimon
519112,Head of Government,Alexander Nikuradze,8,Silent Workhorse,GEO_Nikuradze
519088,Chief of Army,Shalva Maglakelidze,8,Elastic Defence Doctrine,GEO_Maglakelidze
519111,Head of Government,Shalva Maglakelidze,8,Old General,GEO_Maglakelidze
