CRO,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
30096,Chief of Air Force,Viktor Bubanj,1,Army Aviation Doctrine,CRO-KR_Viktor_Bubanj
30097,Chief of Staff,Viktor Pavicic,8,School of Mass Combat,CRO-KR_Viktor_Pavicic
30054,Chief of Army,Vilko Begic,8,Decisive Battle Doctrine,M30004
30045,Head of Military Intelligence,Vilko Begic,8,Logistics Specialist,M30004
30040,Minister of Security,Vilko Begic,8,Crime Fighter,M30004
30083,Chief of Army,Vladimir Copic,2,Guns and Butter Doctrine,CRO_vladimir_copic
30081,Chief of Staff,Vladimir Copic,2,School of Mass Combat,CRO_vladimir_copic
30080,Head of Military Intelligence,Vladimir Copic,2,Political Specialist,CRO_vladimir_copic
30079,Minister of Security,Vladimir Copic,2,Man of the People,CRO_vladimir_copic
30090,Foreign Minister,Vladimir Nazor,2,Apologetic Clerk,CRO_vladimir_nazor
30031,Foreign Minister,Vladko Macek,6,The Cloak N Dagger Schemer,M30011
30025,Head of Government,Vladko Macek,6,Flamboyant Tough Guy,M30011
